Item Name/Number,Internal Id,PACKAGING/FINISHING INSTRUCTIONS,Production Instruction
9124,1456,"Number Across Run/Finish –  1/1
Where Finished –  On Press
Length per Roll/Unit – 150'
Core Type –  N/A
Core Width – N/A
Core Label – No
Dividers – 
Bag Size – 
Qty. Per Bag – 100 Each
Box Size –  12 x 12 x 10
Qty. Per Box – 100 Each
Weight/box – 
Box Per Pallet – 
Pallet Type – ","Core  –  N/A
Width – N/A
Number Across Run/FInish –  1/1
Core Label – No
±10% –  Yes
Unwind Dir. Run – N/A
Unwind Dir. Finish –  N/A
Diecut/Continuous/Sheet –  Sheet
Partial Case –  Yes
Pieces per roll/Unit – 100
Length per roll/unit –  150'
Finish – On Press
Application – "
9125,1457,"Number Across Run/Finish –  1/1
Where Finished –  Web Techniques
Length per Roll/Unit – 527'
Core Type –  3"" Plastic 0.10"" HDPE
Core Width – 4.5""
Core Label – Yes
Dividers – Lexmark Style
Bag Size – 
Qty. Per Bag – 1 Roll
Box Size –  12 x 12 x 12
Qty. Per Box – 2 Rolls
Weight/box – 
Box Per Pallet – 
Pallet Type – ","Core  –  3"" Plastic 0.10"" HDPE
Width – 4.5""
Number Across Run/FInish –  1/1
Core Label – Yes
±10% –  Yes
Unwind Dir. Run – Parts Out
Unwind Dir. Finish –  Parts Out
Diecut/Continuous/Sheet –  Die Cut
Partial Case –  Yes
Pieces per roll/Unit – 5,000
Length per roll/unit –  527'
Finish – Web Techniques
Application – "
9126,1458,"Number Across Run/Finish –  1/1
Where Finished –  Web Techniques
Length per Roll/Unit – 631'
Core Type –  3"" Plastic 0.10"" HDPE
Core Width – 4.5""
Core Label – Yes
Dividers – Lexmark Style
Bag Size – 
Qty. Per Bag – 1 Roll
Box Size –  12 x 12 x 12
Qty. Per Box – 3 Rolls
Weight/box – 
Box Per Pallet – 
Pallet Type – ","Core  –  3"" Plastic 0.10"" HDPE
Width – 4.5""
Number Across Run/FInish –  1/1
Core Label – Yes
±10% –  Yes
Unwind Dir. Run – Parts Out
Unwind Dir. Finish –  Parts Out
Diecut/Continuous/Sheet –  Die Cut
Partial Case –  Yes
Pieces per roll/Unit – 5,000
Length per roll/unit –  631'
Finish – Web Techniques
Application – "
9127,1459,"Number Across Run/Finish –  1/1
Where Finished –  Web Techniques
Length per Roll/Unit – 475'
Core Type –  3"" Plastic 0.10"" HDPE
Core Width – 4.5""
Core Label – Yes
Dividers – Lexmark Style
Bag Size – 
Qty. Per Bag – 1 Roll
Box Size –  12 x 12 x 4
Qty. Per Box – 2 Rolls
Weight/box – 
Box Per Pallet – 
Pallet Type – ","Core  –  3"" Plastic 0.10"" HDPE
Width – 4.5""
Number Across Run/FInish –  1/1
Core Label – Yes
±10% –  Yes
Unwind Dir. Run – Parts Out
Unwind Dir. Finish –  Parts Out
Diecut/Continuous/Sheet –  Die Cut
Partial Case –  Yes
Pieces per roll/Unit – 5,000
Length per roll/unit –  475'
Finish – Web Techniques
Application – "
9128,1460,"Number Across Run/Finish –  2/1
Where Finished –  On Press
Length per Roll/Unit – 103'
Core Type –  CSM Spool
Core Width – Special
Core Label – Yes
Dividers – 
Bag Size – 
Qty. Per Bag – 1 Rolls
Box Size –  12 x 4 x 4
Qty. Per Box – 2 Rolls
Weight/box – 
Box Per Pallet – 
Pallet Type – ","Core  –  CSM Spool
Width – Special
Number Across Run/FInish –  2/1
Core Label – Yes
±10% –  Yes
Unwind Dir. Run – Parts In
Unwind Dir. Finish –  Parts In
Diecut/Continuous/Sheet –  Die Cut
Partial Case –  Yes
Pieces per roll/Unit – 2,200
Length per roll/unit –  103'
Finish – On Press
Application – "
9129,1461,"Number Across Run/Finish –  4/1
Where Finished –  On Press
Length per Roll/Unit – 1'
Core Type –  N/A
Core Width – N/A
Core Label – No
Dividers – 
Bag Size – 
Qty. Per Bag – 10 Each
Box Size –  12 x 12 x 4
Qty. Per Box – 10 Each
Weight/box – 
Box Per Pallet – 
Pallet Type – ","Core  –  N/A
Width – N/A
Number Across Run/FInish –  4/1
Core Label – No
±10% –  Yes
Unwind Dir. Run – N/A
Unwind Dir. Finish –  N/A
Diecut/Continuous/Sheet –  Die Cut Sheet
Partial Case –  Yes
Pieces per roll/Unit – 10
Length per roll/unit –  1'
Finish – On Press
Application – "
9130,1462,"Number Across Run/Finish –  5/5
Where Finished –  On Press
Length per Roll/Unit – 1'
Core Type –  N/A
Core Width – N/A
Core Label – No
Dividers – 
Bag Size – 
Qty. Per Bag – 10 Each
Box Size –  12 x 12 x 4
Qty. Per Box – 10 Each
Weight/box – 
Box Per Pallet – 
Pallet Type – ","Core  –  N/A
Width – N/A
Number Across Run/FInish –  5/5
Core Label – No
±10% –  Yes
Unwind Dir. Run – N/A
Unwind Dir. Finish –  N/A
Diecut/Continuous/Sheet –  Die Cut Sheet
Partial Case –  Yes
Pieces per roll/Unit – 50
Length per roll/unit –  1'
Finish – On Press
Application – "
9131,1463,"Number Across Run/Finish –  3/3
Where Finished –  On Press
Length per Roll/Unit – 1'
Core Type –  N/A
Core Width – N/A
Core Label – No
Dividers – 
Bag Size – 
Qty. Per Bag – 10 Each
Box Size –  12 x 12 x 4
Qty. Per Box – 10 Each
Weight/box – 
Box Per Pallet – 
Pallet Type – ","Core  –  N/A
Width – N/A
Number Across Run/FInish –  3/3
Core Label – No
±10% –  Yes
Unwind Dir. Run – N/A
Unwind Dir. Finish –  N/A
Diecut/Continuous/Sheet –  Die Cut Sheet
Partial Case –  Yes
Pieces per roll/Unit – 30
Length per roll/unit –  1'
Finish – On Press
Application – "
9132,1464,"Number Across Run/Finish –  2/2
Where Finished –  On Press
Length per Roll/Unit – 1'
Core Type –  N/A
Core Width – N/A
Core Label – No
Dividers – 
Bag Size – 
Qty. Per Bag – 10 Each
Box Size –  12 x 12 x 12
Qty. Per Box – 10 Each
Weight/box – 
Box Per Pallet – 
Pallet Type – ","Core  –  N/A
Width – N/A
Number Across Run/FInish –  2/2
Core Label – No
±10% –  Yes
Unwind Dir. Run – N/A
Unwind Dir. Finish –  N/A
Diecut/Continuous/Sheet –  Die Cut Sheet
Partial Case –  Yes
Pieces per roll/Unit – 20
Length per roll/unit –  1'
Finish – On Press
Application – "
9133,1465,"Number Across Run/Finish –  1/1
Where Finished –  On Press
Length per Roll/Unit – 277'
Core Type –  6"" plastic, 0.155"" PP
Core Width – 97.8 mm
Core Label – Yes
Dividers – 
Bag Size – 
Qty. Per Bag – 1 Roll
Box Size –  6 x 6 x 6
Qty. Per Box – 2 M
Weight/box – 
Box Per Pallet – 
Pallet Type – ","Core  –  6"" plastic, 0.155"" PP
Width – 97.8 mm
Number Across Run/FInish –  1/1
Core Label – Yes
±10% –  Yes
Unwind Dir. Run – See Drawing
Unwind Dir. Finish –  See Drawing
Diecut/Continuous/Sheet –  Die Cut
Partial Case –  Yes
Pieces per roll/Unit – 500
Length per roll/unit –  277'
Finish – On Press
Application – "
9134,1466,"Number Across Run/Finish –  1/1
Where Finished –  Off Press
Length per Roll/Unit – 67'
Core Type –  N/A
Core Width – N/A
Core Label – No
Dividers – 
Bag Size – 
Qty. Per Bag – 4 Each
Box Size –  14 x 14 x 10
Qty. Per Box – 1,000 Each
Weight/box – 
Box Per Pallet – 
Pallet Type – ","Core  –  N/A
Width – N/A
Number Across Run/FInish –  1/1
Core Label – No
±10% –  No
Unwind Dir. Run – N/A
Unwind Dir. Finish –  N/A
Diecut/Continuous/Sheet –  Sheet
Partial Case –  No
Pieces per roll/Unit – 400
Length per roll/unit –  67'
Finish – Off Press
Application – "
9135,1467,"Number Across Run/Finish –  3/1
Where Finished –  On Press
Length per Roll/Unit – 163'
Core Type –  3"" Paper 1/8"" Strouse Brown
Core Width – 2""
Core Label – Yes
Dividers – Cardboard 13x13
Bag Size – 
Qty. Per Bag – 1 Rolls
Box Size –  13 x 13 x 10
Qty. Per Box – 4 M
Weight/box – 
Box Per Pallet – 
Pallet Type – ","Core  –  3"" Paper 1/8"" Strouse Brown
Width – 2""
Number Across Run/FInish –  3/1
Core Label – Yes
±10% –  Yes
Unwind Dir. Run – See Drawing
Unwind Dir. Finish –  See Drawing
Diecut/Continuous/Sheet –  Die Cut
Partial Case –  Yes
Pieces per roll/Unit – 1,200
Length per roll/unit –  163'
Finish – On Press
Application – "
9137,1468,"Number Across Run/Finish –  1/1
Where Finished –  On Press
Length per Roll/Unit – 196'
Core Type –  N/A
Core Width – N/A
Core Label – No
Dividers – 
Bag Size – 
Qty. Per Bag – 200 Each
Box Size –  12 x 12 x 10
Qty. Per Box – 1,000 Each
Weight/box – 
Box Per Pallet – 
Pallet Type – ","Core  –  N/A
Width – N/A
Number Across Run/FInish –  1/1
Core Label – No
±10% –  Yes
Unwind Dir. Run – N/A
Unwind Dir. Finish –  N/A
Diecut/Continuous/Sheet –  Die Cut Sheet
Partial Case –  Yes
Pieces per roll/Unit – 200
Length per roll/unit –  196'
Finish – On Press
Application – "
9139,1469,"Number Across Run/Finish –  1/1
Where Finished –  On Press
Length per Roll/Unit – 30'
Core Type –  N/A
Core Width – N/A
Core Label – No
Dividers – 
Bag Size – 
Qty. Per Bag – 400 Each
Box Size –  16 x 16 x 16
Qty. Per Box – 1,200 Each
Weight/box – 
Box Per Pallet – 
Pallet Type – ","Core  –  N/A
Width – N/A
Number Across Run/FInish –  1/1
Core Label – No
±10% –  Yes
Unwind Dir. Run – N/A
Unwind Dir. Finish –  N/A
Diecut/Continuous/Sheet –  Sheet
Partial Case –  Yes
Pieces per roll/Unit – 400
Length per roll/unit –  30'
Finish – On Press
Application – "
9148,1470,"Number Across Run/Finish –  125/1
Where Finished –  On Press
Length per Roll/Unit – 99 m
Core Type –  6"" Paper 3/8"" Brown Brown
Core Width – 6""
Core Label – Yes
Dividers – 
Bag Size – 
Qty. Per Bag – 1 Rolls
Box Size –  23 x 23 x 2.5 cake
Qty. Per Box – 2 Rolls
Weight/box – 
Box Per Pallet – 
Pallet Type – ","Core  –  6"" Paper 3/8"" Brown Brown
Width – 6""
Number Across Run/FInish –  125/1
Core Label – Yes
±10% –  Yes
Unwind Dir. Run – Liner Out
Unwind Dir. Finish –  Liner Out
Diecut/Continuous/Sheet –  Continuous
Partial Case –  Yes
Pieces per roll/Unit – 1 Roll
Length per roll/unit –  99 m
Finish – On Press
Application – "
9149,1471,"Number Across Run/Finish –  1/1
Where Finished –  On Press
Length per Roll/Unit – 384'
Core Type –  N/A
Core Width – N/A
Core Label – No
Dividers – 
Bag Size – 
Qty. Per Bag – 
Box Size –  Various Sizes
Qty. Per Box – 200 Each
Weight/box – 
Box Per Pallet – 
Pallet Type – ","Core  –  N/A
Width – N/A
Number Across Run/FInish –  1/1
Core Label – No
±10% –  Yes
Unwind Dir. Run – N/A
Unwind Dir. Finish –  N/A
Diecut/Continuous/Sheet –  Die Cut Sheet
Partial Case –  No
Pieces per roll/Unit – 200
Length per roll/unit –  384'
Finish – On Press
Application – "
9150,1472,"Number Across Run/Finish –  1/1
Where Finished –  On Press
Length per Roll/Unit – 3'
Core Type –  N/A
Core Width – N/A
Core Label – No
Dividers – See Note
Bag Size – 
Qty. Per Bag – 2 Each
Box Size –  24 x 24 x 6
Qty. Per Box – 
Weight/box – 
Box Per Pallet – 16
Pallet Type – ","Core  –  N/A
Width – N/A
Number Across Run/FInish –  1/1
Core Label – No
±10% –  Ask
Unwind Dir. Run – N/A
Unwind Dir. Finish –  N/A
Diecut/Continuous/Sheet –  Die Cut Sheet
Partial Case –  Ask
Pieces per roll/Unit – 20
Length per roll/unit –  3'
Finish – On Press
Application – "
9151,1473,"Number Across Run/Finish –  1/1
Where Finished –  On Press
Length per Roll/Unit – 200'
Core Type –  N/A
Core Width – N/A
Core Label – Yes
Dividers – 
Bag Size – 
Qty. Per Bag – 100 Each
Box Size –  12 x 12 x 4
Qty. Per Box – 100 Each
Weight/box – 
Box Per Pallet – 
Pallet Type – ","Core  –  N/A
Width – N/A
Number Across Run/FInish –  1/1
Core Label – Yes
±10% –  Yes
Unwind Dir. Run – N/A
Unwind Dir. Finish –  N/A
Diecut/Continuous/Sheet –  Sheet
Partial Case –  Yes
Pieces per roll/Unit – 100
Length per roll/unit –  200'
Finish – On Press
Application – "
9152,1474,"Number Across Run/Finish –  6/1
Where Finished –  On Press
Length per Roll/Unit – 1'
Core Type –  N/A
Core Width – N/A
Core Label – No
Dividers – 
Bag Size – 
Qty. Per Bag – 50 Each
Box Size –  12 x 12 x 10
Qty. Per Box – 300 Each
Weight/box – 
Box Per Pallet – 
Pallet Type – ","Core  –  N/A
Width – N/A
Number Across Run/FInish –  6/1
Core Label – No
±10% –  Yes
Unwind Dir. Run – N/A
Unwind Dir. Finish –  N/A
Diecut/Continuous/Sheet –  Sheet
Partial Case –  Yes
Pieces per roll/Unit – 50
Length per roll/unit –  1'
Finish – On Press
Application – "
9153,1475,"Number Across Run/Finish –  2/1
Where Finished –  On Press
Length per Roll/Unit – 917'
Core Type –  3"" Paper 1/8"" Strouse Brown
Core Width – 4.5""
Core Label – Yes
Dividers – 
Bag Size – 
Qty. Per Bag – 1 Roll
Box Size –  special
Qty. Per Box – 10 M
Weight/box – 
Box Per Pallet – 
Pallet Type – ","Core  –  3"" Paper 1/8"" Strouse Brown
Width – 4.5""
Number Across Run/FInish –  2/1
Core Label – Yes
±10% –  Yes
Unwind Dir. Run – Parts Out
Unwind Dir. Finish –  Parts Out
Diecut/Continuous/Sheet –  Die Cut
Partial Case –  Yes
Pieces per roll/Unit – 5,000
Length per roll/unit –  917'
Finish – On Press
Application – "
9155,1476,"Number Across Run/Finish –  1/1
Where Finished –  On Press
Length per Roll/Unit – 250'
Core Type –  6"" plastic, 0.155"" PP
Core Width – 6.00""
Core Label – Yes
Dividers – 
Bag Size – 
Qty. Per Bag – 1 Rolls
Box Size –  16 x 16 x 10-1/4
Qty. Per Box – 2 Rolls
Weight/box – 
Box Per Pallet – 
Pallet Type – ","Core  –  6"" plastic, 0.155"" PP
Width – 6.00""
Number Across Run/FInish –  1/1
Core Label – Yes
±10% –  Yes
Unwind Dir. Run – Parts In
Unwind Dir. Finish –  Parts In
Diecut/Continuous/Sheet –  Die Cut
Partial Case –  Yes
Pieces per roll/Unit – 1,000
Length per roll/unit –  250'
Finish – On Press
Application – "
9156,1477,"Number Across Run/Finish –  1/1
Where Finished –  Off Press
Length per Roll/Unit – 3'
Core Type –  N/A
Core Width – N/A
Core Label – No
Dividers – 
Bag Size – 
Qty. Per Bag – 4 Each
Box Size –  11 x 11 x 8
Qty. Per Box – 250 Bags
Weight/box – 
Box Per Pallet – 
Pallet Type – ","Core  –  N/A
Width – N/A
Number Across Run/FInish –  1/1
Core Label – No
±10% –  Yes
Unwind Dir. Run – N/A
Unwind Dir. Finish –  N/A
Diecut/Continuous/Sheet –  Die Cut Sheet
Partial Case –  Yes
Pieces per roll/Unit – 4
Length per roll/unit –  3'
Finish – Off Press
Application – "
9158,1478,"Number Across Run/Finish –  3/1
Where Finished –  On Press
Length per Roll/Unit – 439'
Core Type –  3"" Plastic 0.10"" HDPE
Core Width – 1.13""
Core Label – Yes
Dividers – Lexmark style
Bag Size – 
Qty. Per Bag – 1 Roll
Box Size –  Best Fit Per Qty
Qty. Per Box – 70 M
Weight/box – 
Box Per Pallet – 
Pallet Type – ","Core  –  3"" Plastic 0.10"" HDPE
Width – 1.13""
Number Across Run/FInish –  3/1
Core Label – Yes
±10% –  Yes
Unwind Dir. Run – PARTS In
Unwind Dir. Finish –  PARTS In
Diecut/Continuous/Sheet –  Die Cut
Partial Case –  Yes
Pieces per roll/Unit – 7,000
Length per roll/unit –  439'
Finish – On Press
Application – "
9162,1479,"Number Across Run/Finish –  2/2
Where Finished –  On Press
Length per Roll/Unit – 27'
Core Type –  3"" Plastic 0.10"" HDPE
Core Width – 9""
Core Label – Yes
Dividers – 
Bag Size – 
Qty. Per Bag – 2 Rolls
Box Size –  14 x 14 x 14
Qty. Per Box – 4 Rolls
Weight/box – 
Box Per Pallet – 
Pallet Type – ","Core  –  3"" Plastic 0.10"" HDPE
Width – 9""
Number Across Run/FInish –  2/2
Core Label – Yes
±10% –  Yes
Unwind Dir. Run – Parts Out
Unwind Dir. Finish –  Parts Out
Diecut/Continuous/Sheet –  Die Cut
Partial Case –  Yes
Pieces per roll/Unit – 250
Length per roll/unit –  27'
Finish – On Press
Application – "
9163,1480,"Number Across Run/Finish –  1/1
Where Finished –  On Press
Length per Roll/Unit – 42'
Core Type –  N/A
Core Width – N/A
Core Label – No
Dividers – 
Bag Size – 
Qty. Per Bag – 1 M
Box Size –  12 x 12 x 6
Qty. Per Box – 5 M
Weight/box – 
Box Per Pallet – 
Pallet Type – ","Core  –  N/A
Width – N/A
Number Across Run/FInish –  1/1
Core Label – No
±10% –  Yes
Unwind Dir. Run – N/A
Unwind Dir. Finish –  N/A
Diecut/Continuous/Sheet –  Sheet
Partial Case –  Yes
Pieces per roll/Unit – 1,000
Length per roll/unit –  42'
Finish – On Press
Application – "
9165,1481,"Number Across Run/Finish –  1/1
Where Finished –  On Press
Length per Roll/Unit – 417'
Core Type –  3"" Plastic 0.10"" HDPE
Core Width – 3.75""
Core Label – Yes
Dividers – 
Bag Size – 
Qty. Per Bag – 1 Roll
Box Size –  12 x 12 x 10
Qty. Per Box – 5 M
Weight/box – 
Box Per Pallet – 
Pallet Type – ","Core  –  3"" Plastic 0.10"" HDPE
Width – 3.75""
Number Across Run/FInish –  1/1
Core Label – Yes
±10% –  Yes
Unwind Dir. Run – Parts In
Unwind Dir. Finish –  Parts In
Diecut/Continuous/Sheet –  Die Cut
Partial Case –  Yes
Pieces per roll/Unit – 2,500
Length per roll/unit –  417'
Finish – On Press
Application – "
9166,1482,"Number Across Run/Finish –  1/1
Where Finished –  On Press
Length per Roll/Unit – 188'
Core Type –  N/A
Core Width – N/A
Core Label – Yes - on bag
Dividers – 
Bag Size – 
Qty. Per Bag – 100 Each
Box Size –  16 x 16 x 10-1/4
Qty. Per Box – 100 Each
Weight/box – 
Box Per Pallet – 
Pallet Type – ","Core  –  N/A
Width – N/A
Number Across Run/FInish –  1/1
Core Label – Yes - on bag
±10% –  Yes
Unwind Dir. Run – N/A
Unwind Dir. Finish –  N/A
Diecut/Continuous/Sheet –  Sheet
Partial Case –  Yes
Pieces per roll/Unit – 500
Length per roll/unit –  188'
Finish – On Press
Application – "
9167,1483,"Number Across Run/Finish –  1/1
Where Finished –  On Press
Length per Roll/Unit – 334'
Core Type –  N/A
Core Width – N/A
Core Label – Yes - on bag
Dividers – 
Bag Size – 
Qty. Per Bag – 100 Each
Box Size –  12 x 12 x 4
Qty. Per Box – 100 Each
Weight/box – 
Box Per Pallet – 
Pallet Type – ","Core  –  N/A
Width – N/A
Number Across Run/FInish –  1/1
Core Label – Yes - on bag
±10% –  Yes
Unwind Dir. Run – N/A
Unwind Dir. Finish –  N/A
Diecut/Continuous/Sheet –  Sheet
Partial Case –  Yes
Pieces per roll/Unit – 500
Length per roll/unit –  334'
Finish – On Press
Application – "
9168,1484,"Number Across Run/Finish –  1/1
Where Finished –  Web Techniques
Length per Roll/Unit – 524'
Core Type –  3"" Plastic 0.10"" HDPE
Core Width – 38.1 mm
Core Label – Yes
Dividers – Lexmark style
Bag Size – 
Qty. Per Bag – 1 Roll
Box Size –  8 x 8 x 8
Qty. Per Box – 25 M
Weight/box – 3
Box Per Pallet – 
Pallet Type – ","Core  –  3"" Plastic 0.10"" HDPE
Width – 38.1 mm
Number Across Run/FInish –  1/1
Core Label – Yes
±10% –  Yes
Unwind Dir. Run – See Drawing
Unwind Dir. Finish –  See Drawing
Diecut/Continuous/Sheet –  Die Cut
Partial Case –  Yes
Pieces per roll/Unit – 12,500
Length per roll/unit –  524'
Finish – Web Techniques
Application – "
9170,1485,"Number Across Run/Finish –  1/1
Where Finished –  On Press
Length per Roll/Unit – 60'
Core Type –  N/A
Core Width – N/A
Core Label – Yes - on bag
Dividers – 
Bag Size – 
Qty. Per Bag – 100 Each
Box Size –  12 x 12 x 4
Qty. Per Box – 500 Each
Weight/box – 
Box Per Pallet – 
Pallet Type – ","Core  –  N/A
Width – N/A
Number Across Run/FInish –  1/1
Core Label – Yes - on bag
±10% –  Yes
Unwind Dir. Run – N/A
Unwind Dir. Finish –  N/A
Diecut/Continuous/Sheet –  Die Cut Sheet
Partial Case –  Yes
Pieces per roll/Unit – 100
Length per roll/unit –  60'
Finish – On Press
Application – "
